"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Residential","Terajoules","283","units","0","v54272884","1.6.44","15019","","","","0"
"2019","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Residential","Terajoules","283","units","0","v54272884","1.6.44","15406","","","","0"
"2020","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Residential","Terajoules","283","units","0","v54272884","1.6.44","14264","","","","0"
"2015","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Public administration","Terajoules","283","units","0","v54272885","1.6.45","","..","","","0"
"2016","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Public administration","Terajoules","283","units","0","v54272885","1.6.45","","..","","","0"
"2017","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Public administration","Terajoules","283","units","0","v54272885","1.6.45","","..","","","0"
"2018","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Public administration","Terajoules","283","units","0","v54272885","1.6.45","","..","","","0"
"2019","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Public administration","Terajoules","283","units","0","v54272885","1.6.45","","..","","","0"
"2015","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Commercial and other institutional","Terajoules","283","units","0","v54272886","1.6.46","","x","","","0"
"2016","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Commercial and other institutional","Terajoules","283","units","0","v54272886","1.6.46","38208","","","","0"
"2017","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Commercial and other institutional","Terajoules","283","units","0","v54272886","1.6.46","39913","","","","0"
"2018","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Commercial and other institutional","Terajoules","283","units","0","v54272886","1.6.46","36743","","","","0"
"2019","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Commercial and other institutional","Terajoules","283","units","0","v54272886","1.6.46","38424","","","","0"
"2020","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Commercial and other institutional","Terajoules","283","units","0","v54272886","1.6.46","34198","","","","0"
"2015","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Statistical difference","Terajoules","283","units","0","v54272887","1.6.47","671","","","","0"
"2016","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Statistical difference","Terajoules","283","units","0","v54272887","1.6.47","-1029","","","","0"
